setting,label,turkish,espresso,aeropress,moka_pot,drip_coffee_maker,siphon,pour_over,french_press
0,0-0-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,0-0-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,0-0-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,0-0-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,0-1-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,0-1-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,0-1-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,0-1-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,0-2-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,0-2-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,0-2-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,0-2-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,0-3-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,0-3-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,0-3-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,0-3-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,0-4-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,0-4-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,0-4-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,0-4-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,0-5-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,0-5-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,0-5-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,0-5-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,0-6-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,0-6-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,0-6-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,0-6-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,0-7-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,0-7-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,0-7-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,0-7-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,0-8-0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,0-8-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,0-8-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,0-8-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,0-9-0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,0-9-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,0-9-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,0-9-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,1-0-0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,1-0-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,1-0-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,1-0-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,1-1-0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,1-1-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,1-1-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,1-1-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,1-2-0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,1-2-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,1-2-2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,1-2-3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,1-3-0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,1-3-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,1-3-2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,1-3-3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,1-4-0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,1-4-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,1-4-2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,1-4-3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,1-5-0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,1-5-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,1-5-2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,1-5-3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,1-6-0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,1-6-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,1-6-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,1-6-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,1-7-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,1-7-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,1-7-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,1-7-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,1-8-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,1-8-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,1-8-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,1-8-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,1-9-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,1-9-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,1-9-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,1-9-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,2-0-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,2-0-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,2-0-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,2-0-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,2-1-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,2-1-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,2-1-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,2-1-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,2-2-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,2-2-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,2-2-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,2-2-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,2-3-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,2-3-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,2-3-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,2-3-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,2-4-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
97,2-4-1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
98,2-4-2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
99,2-4-3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
100,2-5-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
101,2-5-1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
102,2-5-2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
103,2-5-3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
104,2-6-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
105,2-6-1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
106,2-6-2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
107,2-6-3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
108,2-7-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
109,2-7-1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
110,2-7-2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
111,2-7-3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
112,2-8-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
113,2-8-1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
114,2-8-2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
115,2-8-3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
116,2-9-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
117,2-9-1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
118,2-9-2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
119,2-9-3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
120,3-0-0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
121,3-0-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,3-0-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,3-0-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,3-1-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,3-1-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,3-1-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,3-1-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,3-2-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
129,3-2-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
130,3-2-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
131,3-2-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
132,3-3-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
133,3-3-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
134,3-3-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
135,3-3-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
136,3-4-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
137,3-4-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
138,3-4-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
139,3-4-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
140,3-5-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
141,3-5-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
142,3-5-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
143,3-5-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
144,3-6-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
145,3-6-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
146,3-6-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
147,3-6-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
148,3-7-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
149,3-7-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
150,3-7-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
151,3-7-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
152,3-8-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
153,3-8-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
154,3-8-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
155,3-8-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
156,3-9-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
157,3-9-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
158,3-9-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
159,3-9-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
160,4-0-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
161,4-0-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
162,4-0-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
163,4-0-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
164,4-1-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
165,4-1-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
166,4-1-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
167,4-1-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
168,4-2-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
169,4-2-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
170,4-2-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
171,4-2-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
172,4-3-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
173,4-3-1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
174,4-3-2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
175,4-3-3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
176,4-4-0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
177,4-4-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
178,4-4-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
179,4-4-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
180,4-5-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
181,4-5-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
182,4-5-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
183,4-5-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
184,4-6-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
185,4-6-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
186,4-6-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
187,4-6-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
188,4-7-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
189,4-7-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
190,4-7-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
191,4-7-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
192,4-8-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
193,4-8-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
194,4-8-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
195,4-8-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
196,4-9-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
197,4-9-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
198,4-9-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
199,4-9-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
200,5-0-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
